kws_method,semantic_similarity,cutoff_threshold,weighting_factor,map@25,map@50
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,0.9,87.55317148687402,70.49562902658982
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,0.9,86.94597090405497,70.04517704694804
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,0.9,87.53643997944995,70.49282610609541
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,0.9,86.93904637896614,70.03512934359676
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,0.9,87.56535357220989,70.51183849819276
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,1.0,85.82109757457843,69.50230564182604
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,1.0,85.82109757457843,69.50230564182604
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,1.0,85.82109757457843,69.50230564182604
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,1.0,85.82109757457843,69.50230564182604
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,1.0,85.82109757457843,69.50230564182604
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,1.0,85.82109757457843,69.50230564182604
